********** Monthly MOD08_M3.051 product **********
Selected Application: latlonplot 
Aerosol Optical Depth at 550 nm [unitless] (Optical_Depth_Land_And_Ocean_Mean_Mean)
Selected time period: Jan2013 - Dec2013
Fill value:  -9999.0
User selected area:  (Lat: 23.0N - 55.0N) (Lon: 130.0W - 60.0W)
Actual output area:  (Lat: 23.5N - 54.5N) (Lon: 129.5W - 60.5W)
latitude     longitude      Optical_Depth_Land_And_Ocean_Mean_Mean
(degrees)    (degrees)      [unitless]
23.500     -129.500           0.093
23.500     -128.500           0.103
23.500     -127.500           0.104
23.500     -126.500           0.115
23.500     -125.500           0.110
23.500     -124.500           0.110
23.500     -123.500           0.117
23.500     -122.500           0.124
23.500     -121.500           0.119
23.500     -120.500           0.103
23.500     -119.500           0.110
23.500     -118.500           0.120
23.500     -117.500           0.098
23.500     -116.500           0.094
23.500     -115.500           0.126
23.500     -114.500           0.112
23.500     -113.500           0.100
23.500     -112.500           0.108
23.500     -111.500           0.105
23.500     -110.500           0.100
23.500     -109.500           0.067
23.500     -108.500           0.110
23.500     -107.500           0.117
23.500     -106.500           0.069
23.500     -105.500           0.042
23.500     -104.500           0.056
23.500     -103.500           0.045
23.500     -102.500           0.061
23.500     -101.500           0.149
23.500     -100.500           0.167
23.500      -99.500           0.067
23.500      -98.500           0.107
23.500      -97.500           0.191
23.500      -96.500           0.236
23.500      -95.500           0.228
23.500      -94.500           0.227
23.500      -93.500           0.220
23.500      -92.500           0.204
23.500      -91.500           0.201
23.500      -90.500           0.165
23.500      -89.500           0.158
23.500      -88.500           0.166
23.500      -87.500           0.160
23.500      -86.500           0.160
23.500      -85.500           0.145
23.500      -84.500           0.134
23.500      -83.500           0.140
23.500      -82.500           0.141
23.500      -81.500           0.135
23.500      -80.500           0.161
23.500      -79.500           0.151
23.500      -78.500           0.167
23.500      -77.500           0.152
23.500      -76.500           0.140
23.500      -75.500           0.138
23.500      -74.500           0.136
23.500      -73.500           0.137
23.500      -72.500           0.139
23.500      -71.500           0.137
23.500      -70.500           0.134
23.500      -69.500           0.137
23.500      -68.500           0.120
23.500      -67.500           0.129
23.500      -66.500           0.127
23.500      -65.500           0.129
23.500      -64.500           0.126
23.500      -63.500           0.133
23.500      -62.500           0.136
23.500      -61.500           0.135
23.500      -60.500           0.150
24.500     -129.500           0.088
24.500     -128.500           0.093
24.500     -127.500           0.103
24.500     -126.500           0.105
24.500     -125.500           0.105
24.500     -124.500           0.102
24.500     -123.500           0.119
24.500     -122.500           0.112
24.500     -121.500           0.126
24.500     -120.500           0.124
24.500     -119.500           0.119
24.500     -118.500           0.106
24.500     -117.500           0.106
24.500     -116.500           0.115
24.500     -115.500           0.125
24.500     -114.500           0.114
24.500     -113.500           0.103
24.500     -112.500           0.101
24.500     -111.500           0.173
24.500     -110.500           0.175
24.500     -109.500           0.104
24.500     -108.500           0.109
24.500     -107.500           0.108
24.500     -106.500           0.038
24.500     -105.500           0.037
24.500     -104.500           0.064
24.500     -103.500           0.112
24.500     -102.500           0.218
24.500     -101.500           0.230
24.500     -100.500           0.171
24.500      -99.500           0.064
24.500      -98.500           0.097
24.500      -97.500           0.204
24.500      -96.500           0.214
24.500      -95.500           0.217
24.500      -94.500           0.214
24.500      -93.500           0.201
24.500      -92.500           0.187
24.500      -91.500           0.185
24.500      -90.500           0.165
24.500      -89.500           0.151
24.500      -88.500           0.150
24.500      -87.500           0.150
24.500      -86.500           0.151
24.500      -85.500           0.155
24.500      -84.500           0.149
24.500      -83.500           0.150
24.500      -82.500           0.149
24.500      -81.500           0.151
24.500      -80.500           0.152
24.500      -79.500           0.139
24.500      -78.500           0.137
24.500      -77.500           0.142
24.500      -76.500           0.130
24.500      -75.500           0.128
24.500      -74.500           0.133
24.500      -73.500           0.130
24.500      -72.500           0.126
24.500      -71.500           0.122
24.500      -70.500           0.122
24.500      -69.500           0.124
24.500      -68.500           0.113
24.500      -67.500           0.114
24.500      -66.500           0.116
24.500      -65.500           0.117
24.500      -64.500           0.121
24.500      -63.500           0.124
24.500      -62.500           0.119
24.500      -61.500           0.121
24.500      -60.500           0.130
25.500     -129.500           0.092
25.500     -128.500           0.089
25.500     -127.500           0.100
25.500     -126.500           0.111
25.500     -125.500           0.108
25.500     -124.500           0.106
25.500     -123.500           0.117
25.500     -122.500           0.114
25.500     -121.500           0.127
25.500     -120.500           0.109
25.500     -119.500           0.105
25.500     -118.500           0.110
25.500     -117.500           0.095
25.500     -116.500           0.108
25.500     -115.500           0.121
25.500     -114.500           0.120
25.500     -113.500           0.099
25.500     -112.500           0.089
25.500     -111.500           0.146
25.500     -110.500           0.103
25.500     -109.500           0.111
25.500     -108.500           0.116
25.500     -107.500           0.035
25.500     -106.500           0.031
25.500     -105.500           0.072
25.500     -104.500           0.117
25.500     -103.500           0.234
25.500     -102.500           0.333
25.500     -101.500           0.181
25.500     -100.500           0.077
25.500      -99.500           0.081
25.500      -98.500           0.145
25.500      -97.500           0.198
25.500      -96.500           0.197
25.500      -95.500           0.197
25.500      -94.500           0.193
25.500      -93.500           0.187
25.500      -92.500           0.180
25.500      -91.500           0.176
25.500      -90.500           0.162
25.500      -89.500           0.150
25.500      -88.500           0.153
25.500      -87.500           0.151
25.500      -86.500           0.148
25.500      -85.500           0.155
25.500      -84.500           0.156
25.500      -83.500           0.141
25.500      -82.500           0.139
25.500      -81.500           0.129
25.500      -80.500           0.182
25.500      -79.500           0.135
25.500      -78.500           0.135
25.500      -77.500           0.139
25.500      -76.500           0.130
25.500      -75.500           0.121
25.500      -74.500           0.128
25.500      -73.500           0.124
25.500      -72.500           0.121
25.500      -71.500           0.120
25.500      -70.500           0.114
25.500      -69.500           0.110
25.500      -68.500           0.113
25.500      -67.500           0.113
25.500      -66.500           0.116
25.500      -65.500           0.113
25.500      -64.500           0.112
25.500      -63.500           0.110
25.500      -62.500           0.108
25.500      -61.500           0.109
25.500      -60.500           0.121
26.500     -129.500           0.097
26.500     -128.500           0.105
26.500     -127.500           0.100
26.500     -126.500           0.099
26.500     -125.500           0.101
26.500     -124.500           0.107
26.500     -123.500           0.107
26.500     -122.500           0.113
26.500     -121.500           0.126
26.500     -120.500           0.102
26.500     -119.500           0.104
26.500     -118.500           0.108
26.500     -117.500           0.106
26.500     -116.500           0.105
26.500     -115.500           0.123
26.500     -114.500           0.102
26.500     -113.500           0.090
26.500     -112.500           0.137
26.500     -111.500           0.158
26.500     -110.500           0.096
26.500     -109.500           0.100
26.500     -108.500           0.028
26.500     -107.500           0.025
26.500     -106.500           0.049
26.500     -105.500           0.077
26.500     -104.500           0.221
26.500     -103.500           0.331
26.500     -102.500           0.287
26.500     -101.500           0.181
26.500     -100.500           0.136
26.500      -99.500           0.107
26.500      -98.500           0.128
26.500      -97.500           0.157
26.500      -96.500           0.186
26.500      -95.500           0.176
26.500      -94.500           0.182
26.500      -93.500           0.171
26.500      -92.500           0.170
26.500      -91.500           0.167
26.500      -90.500           0.161
26.500      -89.500           0.154
26.500      -88.500           0.152
26.500      -87.500           0.157
26.500      -86.500           0.153
26.500      -85.500           0.151
26.500      -84.500           0.146
26.500      -83.500           0.134
26.500      -82.500           0.122
26.500      -81.500           0.078
26.500      -80.500           0.125
26.500      -79.500           0.132
26.500      -78.500           0.135
26.500      -77.500           0.129
26.500      -76.500           0.128
26.500      -75.500           0.118
26.500      -74.500           0.118
26.500      -73.500           0.117
26.500      -72.500           0.115
26.500      -71.500           0.120
26.500      -70.500           0.115
26.500      -69.500           0.110
26.500      -68.500           0.113
26.500      -67.500           0.110
26.500      -66.500           0.115
26.500      -65.500           0.110
26.500      -64.500           0.110
26.500      -63.500           0.109
26.500      -62.500           0.109
26.500      -61.500           0.105
26.500      -60.500           0.105
27.500     -129.500           0.105
27.500     -128.500           0.106
27.500     -127.500           0.103
27.500     -126.500           0.109
27.500     -125.500           0.108
27.500     -124.500           0.106
27.500     -123.500           0.102
27.500     -122.500           0.110
27.500     -121.500           0.117
27.500     -120.500           0.093
27.500     -119.500           0.102
27.500     -118.500           0.113
27.500     -117.500           0.124
27.500     -116.500           0.118
27.500     -115.500           0.114
27.500     -114.500           0.110
27.500     -113.500           0.131
27.500     -112.500           0.172
27.500     -111.500           0.093
27.500     -110.500           0.099
27.500     -109.500           0.047
27.500     -108.500           0.025
27.500     -107.500           0.044
27.500     -106.500           0.076
27.500     -105.500           0.157
27.500     -104.500           0.235
27.500     -103.500           0.351
27.500     -102.500           0.241
27.500     -101.500           0.163
27.500     -100.500           0.171
27.500      -99.500           0.131
27.500      -98.500           0.098
27.500      -97.500           0.122
27.500      -96.500           0.170
27.500      -95.500           0.169
27.500      -94.500           0.166
27.500      -93.500           0.162
27.500      -92.500           0.164
27.500      -91.500           0.157
27.500      -90.500           0.162
27.500      -89.500           0.154
27.500      -88.500           0.151
27.500      -87.500           0.153
27.500      -86.500           0.148
27.500      -85.500           0.148
27.500      -84.500           0.142
27.500      -83.500           0.137
27.500      -82.500           0.082
27.500      -81.500           0.047
27.500      -80.500           0.087
27.500      -79.500           0.134
27.500      -78.500           0.132
27.500      -77.500           0.134
27.500      -76.500           0.133
27.500      -75.500           0.128
27.500      -74.500           0.122
27.500      -73.500           0.121
27.500      -72.500           0.114
27.500      -71.500           0.110
27.500      -70.500           0.112
27.500      -69.500           0.109
27.500      -68.500           0.105
27.500      -67.500           0.107
27.500      -66.500           0.113
27.500      -65.500           0.111
27.500      -64.500           0.110
27.500      -63.500           0.110
27.500      -62.500           0.109
27.500      -61.500           0.109
27.500      -60.500           0.105
28.500     -129.500           0.101
28.500     -128.500           0.100
28.500     -127.500           0.100
28.500     -126.500           0.107
28.500     -125.500           0.100
28.500     -124.500           0.106
28.500     -123.500           0.111
28.500     -122.500           0.114
28.500     -121.500           0.113
28.500     -120.500           0.096
28.500     -119.500           0.105
28.500     -118.500           0.114
28.500     -117.500           0.114
28.500     -116.500           0.114
28.500     -115.500           0.110
28.500     -114.500           0.104
28.500     -113.500           0.160
28.500     -112.500           0.119
28.500     -111.500           0.120
28.500     -110.500           0.070
28.500     -109.500           0.015
28.500     -108.500           0.021
28.500     -107.500           0.035
28.500     -106.500           0.082
28.500     -105.500           0.188
28.500     -104.500           0.161
28.500     -103.500           0.275
28.500     -102.500           0.205
28.500     -101.500           0.112
28.500     -100.500           0.135
28.500      -99.500           0.082
28.500      -98.500           0.091
28.500      -97.500           0.057
28.500      -96.500           0.102
28.500      -95.500           0.149
28.500      -94.500           0.156
28.500      -93.500           0.156
28.500      -92.500           0.143
28.500      -91.500           0.178
28.500      -90.500           0.158
28.500      -89.500           0.150
28.500      -88.500           0.146
28.500      -87.500           0.147
28.500      -86.500           0.142
28.500      -85.500           0.142
28.500      -84.500           0.137
28.500      -83.500           0.132
28.500      -82.500           0.078
28.500      -81.500           0.055
28.500      -80.500           0.106
28.500      -79.500           0.133
28.500      -78.500           0.132
28.500      -77.500           0.138
28.500      -76.500           0.138
28.500      -75.500           0.127
28.500      -74.500           0.123
28.500      -73.500           0.121
28.500      -72.500           0.114
28.500      -71.500           0.113
28.500      -70.500           0.115
28.500      -69.500           0.109
28.500      -68.500           0.103
28.500      -67.500           0.107
28.500      -66.500           0.112
28.500      -65.500           0.115
28.500      -64.500           0.109
28.500      -63.500           0.107
28.500      -62.500           0.105
28.500      -61.500           0.108
28.500      -60.500           0.108
29.500     -129.500           0.097
29.500     -128.500           0.103
29.500     -127.500           0.102
29.500     -126.500           0.103
29.500     -125.500           0.098
29.500     -124.500           0.099
29.500     -123.500           0.115
29.500     -122.500           0.110
29.500     -121.500           0.096
29.500     -120.500           0.098
29.500     -119.500           0.104
29.500     -118.500           0.105
29.500     -117.500           0.109
29.500     -116.500           0.107
29.500     -115.500           0.089
29.500     -114.500           0.104
29.500     -113.500           0.088
29.500     -112.500           0.138
29.500     -111.500           0.144
29.500     -110.500           0.073
29.500     -109.500           0.049
29.500     -108.500           0.027
29.500     -107.500           0.055
