Latitude	Longitude	pm25
33.553056	-86.815	9.3817705
33.499722	-86.924167	10.416129
34.342904	-87.33973	5.884314
34.68767	-86.58637	9.137705
32.40712	-86.256367	9.519672
32.476781	-84.99911	11.05
55.324675	-160.508331	2.537778
63.725344	-148.965726	1.372549
64.840672	-147.722461	11.199123
64.84569	-147.727413	21.031579
64.762973	-147.310297	41.511111
59.982667	-152.661089	1.410204
62.314754	-150.317909	1.307653
66.93093	-151.49188	1.765909
34.058475	-109.441259	2.506818
31.3492	-109.539683	7.118182
32.117069	-109.467589	3.24898
36.077814	-112.129551	1.793939
35.973117	-111.984846	2.178
35.140635	-111.969938	3.661702
33.6547	-111.1074	3.629412
34.090866	-110.942801	3.120455
33.503833	-112.095767	8.1465715
33.503833	-112.095767	8.4016135
35.588726	-113.489025	5.965625
36.019302	-114.069205	2.966667
34.8225	-109.891944	2.94
31.95	-112.801	4.096
32.174538	-110.737116	4.072549
32.29515	-110.9823	6.566304
32.248712	-111.218494	5.173469
33.293465	-111.285594	3.958
34.340556	-111.683923	3.079167
35.825893	-93.203187	5.732
34.454406	-94.143316	5.083333
34.756189	-92.281296	10.838983
37.687526	-121.784217	9.231667
37.814781	-122.282347	9.318033
39.761538	-121.84162	10.221311
41.561111	-124.082778	2.544
38.976	-120.103506	1.763415
36.781333	-119.77319	12.146667
36.785322	-119.774174	15.95042
37.22064	-119.155557	2.537255
32.676186	-115.484144	13.658929
36.508611	-116.847778	1.990909
35.356092	-119.041209	15.641562
34.821944	-118.886667	4.1
34.06659	-118.22688	12.373276
34.813056	-118.883889	3.15098
38.123056	-122.908333	5.76383
37.713259	-119.704867	2.6552085
38.088023	-119.178069	2.045455
39.808333	-120.471667	13.24
39.81336	-120.47069	22.275862
33.99958	-117.41601	13.5461585
33.463644	-116.971457	4.318605
38.613779	-121.368014	12.064754
38.558228	-121.492981	10.54
36.485217	-121.156556	3.964706
34.071389	-116.390556	3.252941
34.193925	-116.914063	3.558824
32.791194	-116.942092	10.606
33.127711	-117.075325	11.268333
34.733889	-120.008349	4
37.348497	-121.894898	11.257426
40.536806	-121.573569	1.564
41.711944	-121.508889	1.45098
38.102507	-122.237976	8.909836
37.641583	-120.994622	14.814754
40.786247	-122.805707	1.472
36.498889	-118.823889	5.407843
36.332179	-119.291228	18.457143
34.275736	-118.684731	7.858209
39.826007	-104.937438	10.618966
37.724919	-105.519073	3.154902
