"","V1","V2","V3"
"1",23.5,-129.5,0.093
"2",23.5,-128.5,0.103
"3",23.5,-127.5,0.104
"4",23.5,-126.5,0.115
"5",23.5,-125.5,0.11
"6",23.5,-124.5,0.11
"7",23.5,-123.5,0.117
"8",23.5,-122.5,0.124
"9",23.5,-121.5,0.119
"10",23.5,-120.5,0.103
"11",23.5,-119.5,0.11
"12",23.5,-118.5,0.12
"13",23.5,-117.5,0.098
"14",23.5,-116.5,0.094
"15",23.5,-115.5,0.126
"16",23.5,-114.5,0.112
"17",23.5,-113.5,0.1
"18",23.5,-112.5,0.108
"19",23.5,-111.5,0.105
"20",23.5,-110.5,0.1
"21",23.5,-109.5,0.067
"22",23.5,-108.5,0.11
"23",23.5,-107.5,0.117
"24",23.5,-106.5,0.069
"25",23.5,-105.5,0.042
"26",23.5,-104.5,0.056
"27",23.5,-103.5,0.045
"28",23.5,-102.5,0.061
"29",23.5,-101.5,0.149
"30",23.5,-100.5,0.167
"31",23.5,-99.5,0.067
"32",23.5,-98.5,0.107
"33",23.5,-97.5,0.191
"34",23.5,-96.5,0.236
"35",23.5,-95.5,0.228
"36",23.5,-94.5,0.227
"37",23.5,-93.5,0.22
"38",23.5,-92.5,0.204
"39",23.5,-91.5,0.201
"40",23.5,-90.5,0.165
"41",23.5,-89.5,0.158
"42",23.5,-88.5,0.166
"43",23.5,-87.5,0.16
"44",23.5,-86.5,0.16
"45",23.5,-85.5,0.145
"46",23.5,-84.5,0.134
"47",23.5,-83.5,0.14
"48",23.5,-82.5,0.141
"49",23.5,-81.5,0.135
"50",23.5,-80.5,0.161
"51",23.5,-79.5,0.151
"52",23.5,-78.5,0.167
"53",23.5,-77.5,0.152
"54",23.5,-76.5,0.14
"55",23.5,-75.5,0.138
"56",23.5,-74.5,0.136
"57",23.5,-73.5,0.137
"58",23.5,-72.5,0.139
"59",23.5,-71.5,0.137
"60",23.5,-70.5,0.134
"61",23.5,-69.5,0.137
"62",23.5,-68.5,0.12
"63",23.5,-67.5,0.129
"64",23.5,-66.5,0.127
"65",23.5,-65.5,0.129
"66",23.5,-64.5,0.126
"67",23.5,-63.5,0.133
"68",23.5,-62.5,0.136
"69",23.5,-61.5,0.135
"70",23.5,-60.5,0.15
"71",24.5,-129.5,0.088
"72",24.5,-128.5,0.093
"73",24.5,-127.5,0.103
"74",24.5,-126.5,0.105
"75",24.5,-125.5,0.105
"76",24.5,-124.5,0.102
"77",24.5,-123.5,0.119
"78",24.5,-122.5,0.112
"79",24.5,-121.5,0.126
"80",24.5,-120.5,0.124
"81",24.5,-119.5,0.119
"82",24.5,-118.5,0.106
"83",24.5,-117.5,0.106
"84",24.5,-116.5,0.115
"85",24.5,-115.5,0.125
"86",24.5,-114.5,0.114
"87",24.5,-113.5,0.103
"88",24.5,-112.5,0.101
"89",24.5,-111.5,0.173
"90",24.5,-110.5,0.175
"91",24.5,-109.5,0.104
"92",24.5,-108.5,0.109
"93",24.5,-107.5,0.108
