lat	long	pm	aod
25.4	-80.7	5.580392	0.182
26.1	-80.2	7.625882	0.125
26.1	-97.2	11.072	0.157
27.8	-97.5	9.106897	0.122
27.9	-82.7	8.1453195	0.082
28.7	-82.6	6.594118	0.078
29.3	-103.2	5.252941	0.282
29.7	-95.1	10.109246	0.079
30.1	-84.2	6.82449	0.089
30.1	-89.8	5.895349	0.081
30.4	-84.3	9.636842	0.089
30.5	-91.2	10.474766	0.071
30.5	-97.9	6.933333	0.065
30.7	-82.1	6.358824	0.076
31.3	-109.5	7.118182	0.126
31.5	-82.8	8.277966	0.081
31.8	-104.8	7.717778	0.21
31.8	-106.5	10.072072	0.354
32.0	-112.8	4.096	0.237
32.1	-109.5	3.24898	0.214
32.2	-110.7	4.072549	0.178
32.2	-111.2	5.173469	0.226
32.3	-111.0	6.566304	0.178
32.3	-90.2	10.99375	0.06
32.4	-86.3	9.519672	0.07
32.4	-84.9	10.5643445	0.065
32.5	-85.0	11.05	0.065
32.5	-93.7	10.228302	0.048
32.5	-97.0	8.817241	0.074
32.7	-115.5	13.658929	0.18
32.7	-94.2	9.038333	0.049
32.8	-116.9	10.606	0.028
32.8	-83.6	9.486441	0.073
32.8	-96.8	10.18811	0.074
32.8	-96.9	9.798947	0.074
32.9	-79.7	6.964	0.142
33.1	-117.1	11.268333	0.081
33.2	-108.2	2.677083	0.085
33.3	-111.3	3.958	0.172
33.4	-82.0	9.796364	0.05
33.5	-86.9	10.416129	0.055
33.5	-112.1	8.2740925	0.254
33.5	-112.1	8.4016135	0.254
33.5	-117.0	4.318605	0.043
33.5	-104.4	6.792157	0.175
33.5	-105.5	4.152941	0.109
33.6	-86.8	9.3817705	0.055
33.7	-111.1	3.629412	0.172
33.7	-84.3	10.292929	0.072
33.9	-83.4	10.062069	0.065
33.9	-106.9	4.418182	0.187
34.0	-117.4	13.5461585	0.081
34.1	-109.4	2.506818	0.146
34.1	-110.9	3.120455	0.07
34.1	-118.2	12.373276	0.071
34.1	-116.4	3.252941	0.145
34.1	-81.0	9.0875	0.065
34.2	-116.9	3.558824	0.145
34.3	-87.3	5.884314	0.064
34.3	-111.7	3.079167	0.098
34.3	-118.7	7.858209	0.071
34.3	-85.3	10.556667	0.064
34.5	-94.1	5.083333	0.057
34.6	-80.2	8.415254	0.065
34.7	-86.6	9.137705	0.063
34.7	-120.0	4	0.046
34.7	-98.7	5.31	0.055
34.8	-109.9	2.94	0.146
34.8	-92.3	10.838983	0.068
34.8	-118.9	3.62549	0.071
34.8	-118.9	3.15098	0.071
34.8	-84.6	5.22	0.069
34.8	-82.4	10.231148	0.058
35.0	-85.3	9.881967	0.064
35.1	-112.0	3.661702	0.146
35.1	-106.6	5.753535	0.137
35.1	-85.3	9.932727	0.059
35.1	-87.5	8.815254	0.054
35.2	-80.8	9.422414	0.062
35.2	-90.0	10.9891305	0.083
35.2	-89.9	9.578261	0.083
35.4	-119.0	15.641562	0.058
35.4	-82.8	3.426	0.054
35.5	-76.2	5.717391	0.079
35.6	-113.5	5.965625	0.116
35.6	-82.6	8.756667	0.054
35.6	-80.4	9.965	0.062
35.6	-97.5	7.933333	0.062
35.6	-83.9	5.044681	0.054
35.7	-81.4	10.108772	0.058
35.8	-93.2	5.732	0.059
35.8	-106.3	2.945098	0.137
35.8	-80.3	9.807018	0.062
35.8	-94.7	7.432	0.072
35.9	-78.6	9.349123	0.067
36.0	-112.0	2.178	0.146
36.0	-114.1	2.966667	0.282
36.0	-106.8	2.511628	0.137
36.0	-81.9	4.851064	0.058
36.0	-83.9	9.868852	0.054
36.1	-112.1	1.793939	0.072
36.1	-115.1	7.716842	0.322
36.1	-80.2	9.280357	0.049
36.1	-99.9	5.006122	0.071
36.2	-96.0	9.3875	0.086
36.2	-86.7	9.914754	0.076
36.3	-119.3	18.457143	0.103
36.5	-116.8	1.990909	0.318
36.5	-121.2	3.964706	0.023
36.5	-118.8	5.407843	0.072
36.6	-92.9	6.080392	0.059
36.6	-105.5	2.104444	0.087
36.8	-119.8	14.0485435	0.103
36.8	-119.8	15.95042	0.103
37.0	-90.1	6.846	0.101
37.1	-86.1	6.317647	0.07
37.2	-119.2	2.537255	0.058
37.2	-108.5	3.3895835	0.073
37.2	-113.2	2.530612	0.125
37.3	-121.9	11.257426	0.053
37.3	-107.5	3.62549	0.064
37.6	-121.0	14.814754	0.066
37.6	-112.2	2.022	0.076
37.6	-77.4	9.378947	0.058
37.6	-79.5	6.027451	0.042
37.7	-121.8	9.231667	0.053
37.7	-119.7	2.6552085	0.058
37.7	-105.5	3.154902	0.151
37.7	-107.8	2.713725	0.064
37.7	-97.3	8.855932	0.084
37.7	-94.0	6.611765	0.08
37.8	-122.3	9.318033	0.076
37.9	-90.4	9.35812	0.07
38.0	-87.6	10.303333	0.091
38.1	-122.9	5.76383	0.025
38.1	-119.2	2.045455	0.159
38.1	-122.2	8.909836	0.025
38.1	-84.5	9.354098	0.081
38.2	-83.0	8.031667	0.065
38.2	-85.7	11.2147485	0.075
38.3	-85.7	11.470175	0.075
38.3	-111.3	2.278431	0.126
38.4	-86.9	10.669492	0.072
38.4	-96.6	6.054	0.092
38.4	-90.4	9.106612	0.101
38.4	-81.7	9.08627	0.054
38.4	-81.7	9.742105	0.054
38.5	-90.0	9.454098	0.12
38.5	-82.6	10.311849	0.065
38.5	-82.7	11.166071	0.065
38.5	-109.8	2.439216	0.071
38.5	-78.4	4.616667	0.056
38.6	-121.4	11.302377	0.075
38.6	-121.5	10.54	0.075
38.7	-90.1	6.1996945	0.101
38.7	-90.2	10.772346	0.101
38.8	-90.1	10.181667	0.101
38.8	-99.8	5.302	0.097
38.9	-77.0	8.28825	0.09
38.9	-77.0	9.5825	0.09
39.0	-120.1	1.763415	0.041
39.0	-114.2	1.944186	0.187
39.1	-94.6	10.665306	0.096
39.1	-76.9	8.659821	0.088
39.1	-84.5	10.5875	0.114
39.1	-79.4	4.605882	0.048
39.2	-106.8	1.74902	0.072
39.2	-75.5	8.479661	0.107
39.3	-76.5	10.581319	0.088
39.3	-94.4	9.0525	0.096
39.5	-119.8	9.663025	0.204
39.5	-74.4	5.781633	0.095
39.7	-75.6	9.276744	0.107
39.7	-79.0	5.154902	0.06
39.8	-121.8	10.221311	0.044
39.8	-120.5	17.757931	0.053
39.8	-120.5	22.275862	0.053
39.8	-104.9	9.2482585	0.132
39.8	-105.0	7.877551	0.132
39.8	-86.1	10.921505	0.102
39.8	-84.2	10.345263	0.114
39.8	-84.7	9.682051	0.114
39.8	-75.8	10.103333	0.107
39.9	-107.6	1.798039	0.071
39.9	-75.1	10.564368	0.107
39.9	-81.3	6.74902	0.062
39.9	-77.3	8.575439	0.078
39.9	-75.2	10.495	0.107
39.9	-80.7	11.460345	0.06
40.0	-85.5	9.647368	0.12
40.0	-76.3	11.584746	0.088
40.0	-75.1	10.02381	0.107
40.0	-75.0	9.283146	0.095
40.0	-76.7	10.483051	0.088
40.1	-88.4	7.954902	0.09
40.1	-83.0	10.872131	0.111
40.2	-104.8	8.357895	0.118
40.2	-76.8	11.996552	0.088
40.3	-105.5	1.860417	0.103
40.3	-80.6	15.764286	0.078
40.3	-79.9	12.603279	0.075
40.3	-78.9	11.419672	0.048
40.3	-79.5	10.301639	0.075
40.3	-111.7	11.496667	0.105
40.4	-80.6	22.225	0.078
40.4	-76.0	9.603333	0.09
40.4	-80.4	9.256897	0.078
40.5	-121.6	1.564	0.03
40.5	-106.7	1.594	0.073
40.5	-74.4	9.371732	0.099
40.5	-80.0	10.930303	0.075
40.6	-74.2	11.266667	0.099
40.6	-75.3	10.062295	0.09
40.7	-92.0	6.380392	0.082
40.7	-74.2	9.863265	0.099
40.7	-74.0	10.0538755	0.139
40.7	-73.8	8.980165	0.139
40.7	-111.9	10.84	0.105
40.8	-122.8	1.472	0.028
