"","easting","northing","pm25"
"1",850750.886807911,-561542.918636678,9.3817705
"2",841260.67800272,-568441.386268171,10.416129
"3",793992.543281814,-479081.66711181,5.884314
"4",858886.26995019,-434197.055628868,9.137705
"5",915853.53265534,-682538.73316643,9.519672
"6",1032559.34732443,-661434.033688672,11.05
"7",-1234348.10844834,-457237.319123212,2.506818
"8",-1287759.82761902,-753052.512764471,7.118182
"9",-1268426.39351226,-669851.285397141,3.24898
"10",-1439447.35838106,-196713.671402518,1.793939
"11",-1428692.18076463,-210426.473972097,2.178
"12",-1443463.58824112,-301612.166894324,3.661702
"13",-1393415.32866733,-477476.035135767,3.629412
"14",-1370479.69832702,-432245.411762317,3.120455
"15",-1486595.24671517,-478360.544555728,8.1465715
"16",-1569681.13505897,-227636.708286871,5.965625
"17",-1611678.75458293,-170647.946838263,2.966667
"18",-1262561.23788048,-367264.091815148,2.94
"19",-1582570.95478791,-636020.842798912,4.096
"20",-1385972.84544759,-645080.516636621,4.072549
"21",-1406638.28307509,-628129.253828613,6.566304
"22",-1429464.45556709,-629536.147742287,5.173469
"23",-1416380.9527396,-514242.027234513,3.958
"24",-1433057.10769165,-393546.974181343,3.079167
"25",251719.080289097,-348420.033210689,5.732
"26",170217.370127196,-502704.264450406,5.083333
"27",339488.434966575,-464037.23881603,10.838983
"28",-2232576.44700475,172006.612867549,9.231667
"29",-2270505.30094665,197856.419604151,9.318033
"30",-2173049.35114959,394470.235128341,10.221311
"31",-2295202.9315744,640554.581063849,2.544
"32",-2053216.31753634,270231.684528462,1.763415
"33",-2088500.8245315,27478.282311988,12.146667
"34",-2088471.21678378,27928.5347851632,15.95042
"35",-2023183.03379082,60705.4753044268,2.537255
"36",-1814651.34694033,-507097.852327523,13.658929
"37",-1843173.38612427,-64947.6449064423,1.990909
"38",-2065119.96178458,-142156.210487627,15.641562
"39",-2066276.33877986,-203047.529912349,4.1
"40",-2028129.20027239,-299099.805600693,12.373276
"41",-2066275.62261615,-204065.598631382,3.15098
"42",-2313075.31205396,246358.96647369,5.76383
"43",-2056055.05673411,125869.635644215,2.6552085
"44",-2000904.90858851,154383.953919962,2.045455
"45",-2059329.50638433,367683.161396073,13.24
"46",-2059101.31045892,368199.28615411,22.275862
"47",-1957260.66950213,-324037.246483639,13.5461585
"48",-1930906.48531748,-391360.191566938,4.318605
"49",-2169251.70045102,260760.909680687,12.064754
"50",-2181360.013989,257812.985880608,10.54
"51",-2215970.49580099,28436.7007441359,3.964706
"52",-1863382.9870367,-337758.517917896,3.252941
"53",-1907303.27582305,-313691.629605892,3.558824
"54",-1945224.68266678,-464603.326768386,10.606
"55",-1948832.4919592,-425423.845265726,11.268333
"56",-2167793.63811518,-186458.99125544,4
"57",-2252441.84833217,138600.004189011,11.257426
"58",-2127283.53543614,470837.992391709,1.564
"59",-2086018.04118677,594766.677297927,1.45098
"60",-2257717.41293305,227376.692480291,8.909836
"61",-2167336.11118051,148058.010631455,14.814754
"62",-2218854.72052448,526761.370298027,1.472
"63",-2014651.12026582,-24201.653776475,5.407843
"64",-2059684.4687581,-31674.559131781,18.457143
"65",-2063339.66428224,-266330.247928996,7.858209
"66",-759790.32746873,128962.314435866,10.618966
"67",-833361.356738291,-98010.459486094,3.154902
"68",-766039.677468332,124389.09922909,7.877551
"69",-897782.221585809,223404.910764189,1.594
"70",-1010434.91751006,-124569.042167835,3.62549
"71",-806074.420458035,184025.120486527,1.860417
"72",-1100025.35237185,-124542.642897085,3.3895835
"73",-928060.798206352,72215.1917808232,1.74902
"74",-986712.113789016,164639.553418438,1.798039
"75",-1033026.76306607,-81887.9846707898,2.713725
"76",-746069.257554779,170393.233464817,8.357895
"77",1858611.77371794,545809.916145345,3.503922
"78",1904680.11230621,498009.639485789,9.182105
"79",1745970.81957253,214079.210156633,8.479661
"80",1728196.75957226,276578.605264536,9.276744
"81",1625099.78061297,156362.084118523,6.994
"82",1625790.27364825,161161.342407272,9.5825
"83",1597570.38532772,-1294066.45834153,7.625882
"84",1321184.53203588,-1039531.45083857,6.594118
"85",1365870.24675692,-1120568.68867252,8.544737
"86",1122280.89442163,-877849.091758751,9.636842
"87",1565690.14251328,-1377655.78119503,5.580392
"88",1320054.60771136,-1140333.57575055,7.745902
"89",1145006.6009114,-913719.403966424,6.82449
"90",1154782.16167915,-612077.601665468,9.486441
"91",1329331.89612383,-814989.323397582,6.358824
"92",1161861.7609734,-480290.696008295,10.062069
"93",1257757.25199823,-739099.290390326,8.277966
"94",1081519.35132875,-519931.963648748,10.292929
"95",979162.628074873,-468566.069564485,10.556667
"96",1035516.01627656,-403092.062855972,5.22
"97",1039505.66448584,-665921.600882589,10.078689
"98",1293824.48523145,-518357.352734413,9.796364
"99",971876.403059134,-389184.35766461,9.881967
"100",-1625489.86628719,693029.159810727,11.983621
"101",-1408919.33317187,631449.993128361,1.808511
"102",-1500721.01915713,730533.785620337,1.460465
"103",646609.448672832,143878.967859883,7.954902
"104",682825.965914333,354459.861166529,10.763333
"105",685212.807460895,336669.41570112,10.58
"106",674266.577079257,379016.469171345,8.975581
"107",648812.430136502,335634.868614445,9.208475
"108",506236.407521598,-16978.4624548762,1.036364
"109",511073.093452083,-229.556630841509,10.181667
"110",516625.464246379,-35736.9755794337,9.454098
"111",891062.489563961,-30013.4103891899,11.470175
"112",786907.082871908,-28392.9422482881,10.669492
"113",830137.246470504,340724.044277827,10.135593
"114",887764.169056431,163125.856041178,9.647368
"115",720443.174204405,323815.21534004,11.272881
"116",840268.137763199,135632.017662565,10.921505
"117",734669.068540651,-75591.1303076233,10.303333
"118",355762.90778443,338964.661184449,9.578333
"119",79990.184610109,219057.886397386,6.828
"120",195562.974534019,291582.918763579,8.320339
"121",449362.808417133,294268.810528332,10.222124
"122",335722.394874872,195558.782391405,6.380392
"123",-48674.9153437845,-62666.4948697587,6.054
