,N,One,Two,Three+,Total,
N,    11404.00,     6508.00,     3359.00,     1537.00,           .,
%Pop,           .,       57.29,       29.40,       13.31,      100.00,
Urban,     4879.00,       48.09,       33.21,       18.70,      100.00,
Rural,     6525.00,       64.59,       26.37,        9.04,      100.00,
Lowest,     2479.00,       73.96,       21.98,        4.05,      100.00,
Fourth,     2323.00,       65.75,       26.42,        7.83,      100.00,
Middle,     2198.00,       62.50,       27.17,       10.33,      100.00,
Second,     2423.00,       49.80,       33.69,       16.51,      100.00,
Wealthiest,     1981.00,       31.32,       38.89,       29.79,      100.00,


