,DHS Urban,DHS Rural,DHS Total,PMA Main Urban,PMA Main Rural,PMA Main Total,PMA Regular Urban,PMA Regular Rural,PMA Regular Total,
Improved source,       77.60,       47.70,       59.60,       65.90,       50.47,       57.29,       77.97,       61.60,       68.66,
Piped into dwelling/yard/plot,        6.10,        0.80,        2.90,       13.03,        0.42,        5.99,       15.13,        0.43,        6.77,
Public tap/standpipe,        9.60,        4.70,        6.60,        4.77,        2.39,        3.44,        6.68,        2.64,        4.38,
Tube well or borehole,       45.80,       30.00,       36.30,       17.48,       15.34,       16.29,       24.09,       18.76,       21.06,
Protected well,       13.10,       11.00,       11.80,       24.38,       27.24,       25.98,       32.62,       32.09,       32.32,
Protected spring,        0.30,        0.50,        0.40,        1.86,        0.35,        1.02,        2.46,        0.91,        1.58,
Rainwater,        0.80,        0.50,        0.60,        3.98,        4.69,        4.38,       24.07,       22.32,       23.07,
Bottled water,        1.80,        0.20,        0.80,        0.38,        0.04,        0.19,        1.04,        0.24,        0.58,
Non-improved source,       22.20,       52.00,       40.10,       31.79,       47.53,       40.58,       41.30,       59.49,       51.64,
Unprotected well,        4.70,       26.20,       17.60,       14.65,       31.85,       24.25,       16.99,       35.35,       27.43,
Unprotected spring,        1.20,        4.20,        3.00,        0.00,        8.43,        4.70,        0.22,       10.85,        6.27,
Tanker truck/cart,        3.60,        0.60,        1.80,        1.31,        0.11,        0.64,        1.82,        0.11,        0.85,
Surface water,        4.10,       20.30,       13.90,        0.00,        7.09,        3.95,        0.39,       15.39,        8.92,
Sachet water,        8.60,        0.70,        3.80,       15.83,        0.06,        7.03,       23.82,        0.56,       10.59,
Other/Missing,        0.20,        0.30,        0.30,        2.31,        2.00,        2.14,        2.32,        1.91,        2.08,
N,    70422.00,   106541.00,   176963.00,     4879.00,     6525.00,    11404.00,     4879.00,     6525.00,    11404.00,


