,Urban pop under 5,Rural pop under 5,All pop under 5,Urban all,Rural all,Total,
Latrine/toilet,       44.27,       17.98,       29.68,       28.26,       11.34,       18.82,
Leave,        5.21,        2.16,        3.52,        3.33,        1.37,        2.23,
Bury,        0.19,       13.55,        7.61,        0.12,        8.55,        4.82,
Dispose in latrine,       61.13,       53.71,       57.01,       39.02,       33.88,       36.15,
Dispose with garbage,        0.83,       19.98,       11.46,        0.53,       12.61,        7.27,
Dispose with waste water,        2.88,        1.42,        2.07,        1.84,        0.90,        1.31,
Manure,        0.00,        2.70,        1.50,        0.00,        1.70,        0.95,
Burn,        0.85,        0.48,        0.65,        0.54,        0.30,        0.41,
N,     3126.00,     4145.00,     7271.00,     4879.00,     6525.00,    11404.00,


