,N,Yes has a place,No place,Total,N,Soap no water,Water no soap,Soap and Water,No soap no water,Total,Near sanitation,Soap water near sanitation,
HH 1-4 members,     3081.00,       30.38,       69.62,      100.00,      880.00,        4.73,       28.87,       51.99,       14.40,      100.00,       19.75,        6.94,
HH 5-9 members,     5656.00,       28.99,       71.01,      100.00,     1523.00,       10.72,       28.44,       48.69,       12.15,      100.00,       18.74,        9.88,
HH 10-14 members,     1740.00,       23.59,       76.41,      100.00,      416.00,        7.47,       29.76,       40.73,       22.04,      100.00,       26.34,        8.03,
HH 15+ members,      765.00,       32.90,       67.10,      100.00,      249.00,        0.00,       43.07,        6.99,       49.94,      100.00,       25.27,        6.99,
Urban,     4879.00,       39.06,       60.94,      100.00,     1747.00,        2.81,       26.39,       59.09,       11.72,      100.00,       14.05,        9.61,
Rural,     6525.00,       20.71,       79.29,      100.00,     1321.00,       14.77,       35.04,       25.20,       24.99,      100.00,       29.94,        7.01,
poorest,     2450.00,       18.41,       81.59,      100.00,      462.00,       17.78,       49.10,        8.72,       24.40,      100.00,       25.73,        3.80,
second poorest,     2274.00,       19.55,       80.45,      100.00,      415.00,       13.56,       32.54,       12.72,       41.18,      100.00,       36.90,        3.51,
middle,     2136.00,       20.74,       79.26,      100.00,      412.00,        7.71,       29.16,       44.76,       18.37,      100.00,       21.17,        7.95,
second wealthiest,     2407.00,       30.77,       69.23,      100.00,      707.00,        2.66,       39.00,       41.09,       17.25,      100.00,       12.63,        5.57,
wealthiest,     1975.00,       57.15,       42.85,      100.00,     1072.00,        4.63,       16.75,       73.45,        5.16,      100.00,       16.96,       14.11,
Total,    11404.00,       28.82,       71.18,      100.00,     3068.00,        7.69,       29.92,       45.26,       17.13,      100.00,       20.54,        8.55,


