,N,Yes,No,No Response,Total,HHpop>1,HHpop>50%,Main,
Total,    11404, 38.85599,  44.0087, 17.13531,      100, 37.81096, 34.01823, 14.65035,
Urban,     4879, 21.00678, 67.22262,  11.7706,      100, 20.01664, 19.17537, .1902598,
Rural,     6525, 52.99386, 25.62158, 21.38456,      100, 51.90537, 45.77485,  26.1038,
Poorest,     2479, 40.10444, 38.21218, 21.68338,      100, 38.70984, 30.44088, 21.66094,
Second,     2323, 48.04594, 29.05779, 22.89628,      100, 47.15602, 42.87033, 22.60531,
Middle,     2198, 45.25906, 39.49539, 15.24555,      100, 43.68575, 40.85814, 16.91813,
Fourth,     2423, 41.39577, 48.51328, 10.09095,      100, 40.62115, 38.33951, 10.12467,
Wealthiest,     1981, 17.52622, 67.19107, 15.28271,      100, 16.96042, 16.25593, .2613244,


