,N,Always,predictable,unpredictable,Total,N,All year,Half year or more,Less than half the year,Total,
Piped into dwelling/indoor,      174.00,       59.37,       23.36,       17.27,      100.00,      175.00,       61.52,       37.43,        1.04,      100.00,
to yard/plot,       83.00,       54.53,       36.80,        8.66,      100.00,       83.00,       55.73,       41.80,        2.46,      100.00,
Piped Public tap/standpipe,      119.00,       72.96,       16.91,       10.13,      100.00,      119.00,       76.75,       21.61,        1.64,      100.00,
Tube well or borehole,      487.00,       80.19,       14.07,        5.74,      100.00,      488.00,       81.49,       17.10,        1.41,      100.00,
Dug Well:Protected Well,      820.00,       78.21,       17.30,        4.49,      100.00,      818.00,       75.64,       21.06,        3.31,      100.00,
Dug Well:Unprotected Well,      585.00,       65.27,       31.36,        3.37,      100.00,      584.00,       66.39,       31.85,        1.75,      100.00,
Water from Spring,      166.00,       67.58,        9.76,       22.67,      100.00,      166.00,       57.57,       21.73,       20.70,      100.00,
Rainwater,      471.00,       15.32,       32.09,       52.60,      100.00,      477.00,       10.88,       53.69,       35.43,      100.00,
Tanker Truck+Cart,       21.00,       54.43,       17.95,       27.62,      100.00,       21.00,       72.28,        8.71,       19.01,      100.00,
Surface water,      187.00,       70.63,       27.05,        2.32,      100.00,      190.00,       65.06,       32.55,        2.40,      100.00,
Bottled Water,       17.00,       87.79,        0.00,       12.21,      100.00,       16.00,       87.54,        5.87,        6.59,      100.00,
Sachet Water,      256.00,       93.90,        4.94,        1.16,      100.00,      257.00,       95.91,        2.24,        1.85,      100.00,


