,N,No time,1-5min_dry,6-30min_dry,31-120min_dry,2hours+dry,Water on premises,1-5min_wet,6-30min_wet,31-120min_dry,2hours+wet
Female Total,2569,6.51,34.66,35.77,14.55,8.52,6.67,47.94,32.4,7.18,5.82
Female Urban,1131,1.95,43.64,31.82,11.42,11.17,2.06,57.56,28.35,6.07,5.97
Female Rural,1438,10.25,27.29,39.01,17.12,6.35,10.45,40.04,35.72,8.1,5.69
Female Poorest,516,3.19,37.21,31.13,20.91,7.55,3.39,44.64,37.04,7.26,7.67
Female Second,503,9.5,23.25,43.54,14.06,9.65,9.61,39.37,34.81,8.1,8.11
Female Middle,511,10.58,28.99,35.19,17.94,7.29,11.14,36.57,37.48,8.91,5.89
Female Fourth,542,5.79,36.3,37.99,10.95,8.97,5.97,53.57,29.55,7.04,3.87
Female Wealthiest,497,3.58,47.33,30.92,9.09,9.09,3.33,65.08,23.35,4.65,3.6
Female Age 15-17,344,5.16,32.66,37.81,16.35,8.03,4.81,43.17,40.48,5.34,6.2
Female Age 18-26,1140,6.4,35.14,34,15.09,9.37,6.65,47.94,31.3,8,6.11
Female Age 27-39,794,5.86,34.69,37.37,14.05,8.03,6.07,48.72,32.53,6.96,5.72
Female Age 40+,291,10.25,35,35.97,11.67,7.1,10.54,51.4,26.84,6.72,4.5
Piped Water,222,4.38,49.22,24.19,4.3,17.9,3.95,66.45,18.21,5.31,6.08
Public Tap,105,1.19,52.51,33.49,7.42,5.39,1.19,59.65,24.72,10.03,4.41
Tubewell or Borehole,380,4.36,38.04,34.6,14,8.99,4.55,43.63,37.93,7.27,6.62
Dug Well,1419,8.07,36.79,38.59,9.58,6.97,8.39,52.33,29.19,4.26,5.83
Water from Spring,152,0.68,14.46,38.23,41.24,5.38,0.68,20.89,60.62,17.8,0
Rainwater,45,0,13.82,57.17,18.82,10.19,0,61.93,17.56,18.06,2.45
Tank,23,3.54,10.35,56.93,10.22,18.97,3.54,29.35,47.42,10.22,9.48
Surface Water,177,10.96,4.39,25.63,53.54,5.48,11.55,14.3,47.38,20.92,5.85
Bottle/Sachet,6,0,0,14.17,34.33,51.5,0,0,100,0,0
