,N,0 Animal,1-15 Animal,15+ Animal,
Total,    11404.00,       67.41,       17.94,       14.65,
Urban,     4879.00,       87.27,        7.91,        4.82,
Rural,     6525.00,       51.69,       25.88,       22.43,
Poorest,     2479.00,       59.54,       25.87,       14.59,
Second,     2323.00,       64.29,       17.30,       18.40,
Middle,     2198.00,       67.22,       18.51,       14.27,
Fourth,     2423.00,       62.84,       20.74,       16.42,
Wealthiest,     1981.00,       85.56,        5.55,        8.89,
Natural,     4362.00,       61.73,       23.11,       15.16,
Rudimentary/Completed,     7034.00,       70.91,       14.74,       14.35,
HH 1_4,     3119.00,       76.78,       15.20,        8.02,
HH 5_9,     5734.00,       64.56,       20.06,       15.38,
HH 10_14,     1786.00,       60.17,       17.52,       22.30,
HH 15+,      765.00,       67.00,       14.01,       18.99,


