,N,One,Two,Three+,Total,
N,     3582.00,      633.00,     1381.00,     1568.00,           .,
%Pop,           .,       17.19,       37.69,       45.12,      100.00,
Urban,     3439.00,       16.96,       37.66,       45.38,      100.00,
Rural,      143.00,       22.32,       38.33,       39.35,      100.00,
Lowest,      608.00,       20.63,       43.45,       35.92,      100.00,
Fourth,      697.00,       17.83,       40.69,       41.48,      100.00,
Middle,      802.00,       22.14,       38.59,       39.27,      100.00,
Second,      704.00,       14.01,       38.35,       47.64,      100.00,
Wealthiest,      752.00,       11.71,       28.85,       59.44,      100.00,


