,Urban,Rural,Total,
Improved&Not shared,       33.12,       10.42,       32.16,
Flush to sewer,       10.63,        4.22,       10.35,
Flush to septic,       21.43,        6.21,       20.79,
Composting,        0.00,        0.00,        0.00,
VIP,        0.00,        0.00,        0.00,
Pit with slab,        1.06,        0.00,        1.01,
Non-Improved,       66.60,       89.58,       67.58,
Any shared Facilities,       56.48,       55.92,       56.46,
Flush improperly,        1.25,        0.00,        1.20,
Pit no slab,        3.65,       12.48,        4.03,
Bucket/hanging,        3.19,        1.20,        3.10,
Open defecation,        2.02,       19.97,        2.79,
N,     3431.00,      143.00,     3574.00,


