,DHS Urban,DHS Rural,DHS Total,PMA Main Urban,PMA Main Rural,PMA Main Total,PMA Regular Urban,PMA Regular Rural,PMA Regular Total,
Improved source,       77.60,       47.70,       59.60,       41.10,       47.32,       41.37,       60.60,       76.88,       61.31,
Piped into dwelling/yard/plot,        6.10,        0.80,        2.90,        7.70,        0.00,        7.37,       10.45,        0.00,       10.00,
Public tap/standpipe,        9.60,        4.70,        6.60,       13.25,       17.84,       13.45,       16.47,       17.95,       16.53,
Tube well or borehole,       45.80,       30.00,       36.30,       12.10,       29.48,       12.84,       17.72,       42.92,       18.81,
Protected well,       13.10,       11.00,       11.80,        0.71,        0.00,        0.68,        0.72,        0.00,        0.69,
Protected spring,        0.30,        0.50,        0.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Rainwater,        0.80,        0.50,        0.60,        0.17,        0.00,        0.16,        2.12,       10.91,        2.50,
Bottled water,        1.80,        0.20,        0.80,        7.17,        0.00,        6.87,       24.28,       14.63,       23.86,
Non-improved source,       22.20,       52.00,       40.10,       58.45,       52.68,       58.21,       73.22,       50.58,       72.23,
Unprotected well,        4.70,       26.20,       17.60,        0.00,        1.81,        0.08,        0.10,        9.70,        0.51,
Unprotected spring,        1.20,        4.20,        3.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Tanker truck/cart,        3.60,        0.60,        1.80,        0.92,        0.00,        0.88,        3.21,        0.00,        3.07,
Surface water,        4.10,       20.30,       13.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Sachet water,        8.60,        0.70,        3.80,       57.53,       50.88,       57.25,       72.58,       50.58,       71.63,
Other/Missing,        0.20,        0.30,        0.30,        0.45,        0.00,        0.43,        0.25,        0.00,        0.24,
N,    70422.00,   106541.00,   176963.00,     3439.00,      143.00,     3582.00,     3439.00,      143.00,     3582.00,


