,Urban pop under 5,Rural pop under 5,All pop under 5,Urban all,Rural all,Total,
Latrine/toilet,       15.35,       17.49,       15.45,        6.63,        7.76,        6.68,
Leave,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Bury,        1.46,       20.37,        2.29,        0.63,        9.03,        0.99,
Dispose in latrine,       68.04,       21.75,       66.02,       29.37,        9.65,       28.53,
Dispose with garbage,       33.13,       44.47,       33.63,       14.30,       19.72,       14.53,
Dispose with waste water,        0.48,        0.00,        0.46,        0.21,        0.00,        0.20,
Manure,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Burn,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
N,     1459.00,       65.00,     1524.00,     3439.00,      143.00,     3582.00,


