,N,Yes has a place,No place,Total,N,Soap no water,Water no soap,Soap and Water,No soap no water,Total,Near sanitation,Soap water near sanitation,
HH 1-4 members,     1747.00,       38.26,       61.74,      100.00,      456.00,        0.50,       30.59,       67.41,        1.50,      100.00,       29.53,       22.47,
HH 5-9 members,     1806.00,       38.32,       61.68,      100.00,      448.00,        0.00,       31.89,       63.16,        4.95,      100.00,       29.46,       23.34,
HH 10-14 members,       20.00,        0.00,      100.00,      100.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
HH 15+ members,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Urban,     3439.00,       37.93,       62.07,      100.00,      838.00,        0.27,       30.43,       65.86,        3.44,      100.00,       31.50,       24.46,
Rural,      143.00,       40.27,       59.73,      100.00,       66.00,        0.00,       43.17,       56.83,        0.00,      100.00,        0.00,        0.00,
poorest,      601.00,       27.17,       72.83,      100.00,      100.00,        0.00,       69.91,       24.74,        5.34,      100.00,        8.29,        0.00,
second poorest,      695.00,       19.40,       80.60,      100.00,      104.00,        0.00,       38.07,       49.12,       12.81,      100.00,       17.71,       11.61,
middle,      802.00,       24.82,       75.18,      100.00,      134.00,        0.00,       23.15,       72.08,        4.77,      100.00,       22.98,       15.53,
second wealthiest,      704.00,       38.83,       61.17,      100.00,      200.00,        1.08,       38.05,       58.88,        1.99,      100.00,       21.86,       17.36,
wealthiest,      752.00,       76.28,       23.72,      100.00,      366.00,        0.00,       17.58,       82.42,        0.00,      100.00,       46.04,       38.91,
Total,     3582.00,       38.03,       61.97,      100.00,      904.00,        0.25,       31.24,       65.29,        3.22,      100.00,       29.50,       22.91,


