,N,Yes,No,No Response,Total,HHpop>1,HHpop>50%,Main,
Total,     3582, 6.081784, 86.21123, 7.706986,      100, 5.370062, 5.262458, 2.448806,
Urban,     3439, 5.438628, 88.37176, 6.189612,      100, 4.775525, 4.689882, 2.022754,
Rural,      143, 20.56945, 37.54335, 41.88721,      100, 18.76255, 18.16025, 12.04599,
Poorest,      608, 13.87932, 77.95857,  8.16211,      100,  12.1695, 13.31982, 8.000503,
Second,      697, 6.668209, 79.88732, 13.44447,      100,  6.47423, 6.668209, 4.028667,
Middle,      802, 2.415105, 92.62925, 4.955646,      100, 2.415105, 2.415105, .6797346,
Fourth,      704, 5.614507, 91.22074, 3.164755,      100, 4.756283, 4.297785, .7980131,
Wealthiest,      752,    3.611, 87.10793, 9.281072,      100, 2.621471, 1.459552,        0,


