,N,Always,predictable,unpredictable,Total,N,All year,Half year or more,Less than half the year,Total,
Piped into dwelling/indoor,      161.00,       76.30,       12.78,       10.92,      100.00,      161.00,       82.63,       16.19,        1.18,      100.00,
to yard/plot,      124.00,       71.80,       10.68,       17.52,      100.00,      124.00,       88.47,       10.00,        1.53,      100.00,
Piped Public tap/standpipe,      323.00,       65.04,       16.42,       18.54,      100.00,      323.00,       82.56,       14.62,        2.82,      100.00,
Tube well or borehole,      409.00,       79.65,       14.16,        6.19,      100.00,      409.00,       87.25,       11.84,        0.91,      100.00,
Dug Well:Protected Well,      134.00,       83.51,       13.30,        3.19,      100.00,      134.00,       83.28,       16.72,        0.00,      100.00,
Dug Well:Unprotected Well,      106.00,       79.48,       19.51,        1.02,      100.00,      106.00,       76.80,       21.16,        2.04,      100.00,
Water from Spring,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Rainwater,      147.00,        6.41,        4.34,       89.24,      100.00,      147.00,        1.12,       52.59,       46.29,      100.00,
Tanker Truck+Cart,      109.00,       65.56,       18.04,       16.39,      100.00,      109.00,       77.81,       21.14,        1.05,      100.00,
Surface water,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Bottled Water,      232.00,       95.70,        3.22,        1.09,      100.00,      232.00,       91.41,        6.51,        2.08,      100.00,
Sachet Water,      714.00,       98.85,        0.97,        0.18,      100.00,      714.00,       98.93,        0.94,        0.13,      100.00,


