,N,Water on Premises,1-5min_dry,6-30min_dry,31-120min_dry,2hours+dry,Water on premises,1-5min_wet,6-30min_wet,31-120min_dry,2hours+wet,
Female Total,      800.00,       16.88,       46.55,       24.59,        1.80,       10.18,       18.47,       55.99,       21.10,        0.67,        3.77,
Female Urban,      763.00,       17.74,       46.23,       25.01,        1.74,        9.29,       19.10,       56.18,       20.83,        0.71,        3.18,
Female Rural,       37.00,        0.00,       52.81,       16.45,        3.03,       27.71,        6.06,       52.38,       26.41,        0.00,       15.15,
Female Poorest,      133.00,        6.76,       43.69,       34.87,        2.89,       11.80,        8.31,       55.63,       28.36,        0.93,        6.77,
Female Second,      154.00,        5.44,       48.68,       29.61,        1.41,       14.86,        6.89,       60.56,       27.53,        0.00,        5.01,
Female Middle,      183.00,        8.39,       46.79,       26.88,        3.33,       14.61,       11.84,       63.15,       20.12,        1.67,        3.22,
Female Fourth,      155.00,       18.97,       53.23,       18.32,        1.12,        8.37,       20.44,       58.33,       16.02,        0.74,        4.48,
Female Wealthiest,      173.00,       40.13,       40.71,       16.31,        0.44,        2.41,       40.13,       43.38,       16.02,        0.00,        0.47,
Female Age 15-17,       69.00,       10.22,       61.29,       18.85,        1.08,        8.56,       10.22,       69.64,       20.15,        0.00,        0.00,
Female Age 18-26,      202.00,       12.25,       51.74,       24.60,        1.04,       10.37,       13.89,       59.36,       21.70,        1.19,        3.86,
Female Age 27-39,      368.00,       18.97,       43.08,       25.84,        2.18,        9.93,       21.15,       52.90,       21.30,        0.80,        3.86,
Female Age 40+,      161.00,       20.85,       41.51,       24.17,        2.21,       11.26,       21.69,       52.92,       20.28,        0.00,        5.11,
Piped Water,      168.00,       40.96,       41.50,       13.77,        0.52,        3.25,       42.55,       45.16,        9.55,        0.00,        2.74,
Public Tap,      236.00,       11.57,       42.70,       30.13,        0.87,       14.73,       12.49,       54.43,       29.39,        0.00,        3.69,
Tubewell or Borehole,      282.00,        9.87,       53.15,       25.29,        3.07,        8.62,       11.69,       62.26,       20.10,        1.71,        4.23,
Dug Well,       63.00,        6.23,       52.71,       23.38,        0.00,       17.68,        7.25,       71.29,       20.43,        0.00,        1.03,
Water from Spring,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Rainwater,        3.00,        0.00,       40.03,        0.00,        0.00,       59.97,        0.00,       40.03,       19.93,        0.00,       40.03,
Tank,       37.00,        4.06,       38.34,       44.53,        4.17,        8.90,       10.14,       45.39,       33.75,        1.81,        8.90,
Surface Water,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,
Bottle/Sachet,       10.00,       27.09,       38.62,       20.57,       13.71,        0.00,       27.09,       59.19,       13.71,        0.00,        0.00,


